COUNTY ID,COUNTY NAME,CONSTITUENCY ID,CONSTITUENCY NAME,WARD ID,WARD NAME
1,MOMBASA,1,CHANGAMWE,1,PORT REITZ
1,MOMBASA,1,CHANGAMWE,2,KIPEVU
1,MOMBASA,1,CHANGAMWE,3,AIRPORT
1,MOMBASA,1,CHANGAMWE,4,CHANGAMWE
1,MOMBASA,1,CHANGAMWE,5,CHAANI
1,MOMBASA,2,JOMVU,6,JOMVU KUU
1,MOMBASA,2,JOMVU,7,MIRITINI
1,MOMBASA,2,JOMVU,8,MIKINDANI
1,MOMBASA,3,KISAUNI,9,MJAMBERE
1,MOMBASA,3,KISAUNI,10,JUNDA
1,MOMBASA,3,KISAUNI,11,BAMBURI
1,MOMBASA,3,KISAUNI,12,MWAKIRUNGE
1,MOMBASA,3,KISAUNI,13,MTOPANGA
1,MOMBASA,3,KISAUNI,14,MAGOGONI
1,MOMBASA,3,KISAUNI,15,SHANZU
1,MOMBASA,4,NYALI,16,FRERE TOWN
1,MOMBASA,4,NYALI,17,ZIWA LA NG'OMBE
1,MOMBASA,4,NYALI,18,MKOMANI
1,MOMBASA,4,NYALI,19,KONGOWEA
1,MOMBASA,4,NYALI,20,KADZANDANI
1,MOMBASA,5,LIKONI,21,MTONGWE
1,MOMBASA,5,LIKONI,22,SHIKA ADABU
1,MOMBASA,5,LIKONI,23,BOFU
1,MOMBASA,5,LIKONI,24,LIKONI
1,MOMBASA,5,LIKONI,25,TIMBWANI
1,MOMBASA,6,MVITA,26,MJI WA KALE/MAKADARA
1,MOMBASA,6,MVITA,27,TUDOR
1,MOMBASA,6,MVITA,28,TONONOKA
1,MOMBASA,6,MVITA,29,SHIMANZI/GANJONI
1,MOMBASA,6,MVITA,30,MAJENGO
2,KWALE,7,MSAMBWENI,31,GOMBATOBONGWE
2,KWALE,7,MSAMBWENI,32,UKUNDA
2,KWALE,7,MSAMBWENI,33,KINONDO
2,KWALE,7,MSAMBWENI,34,RAMISI
2,KWALE,8,LUNGALUNGA,35,PONGWEKIKONENI
2,KWALE,8,LUNGALUNGA,36,DZOMBO
2,KWALE,8,LUNGALUNGA,37,MWERENI
2,KWALE,8,LUNGALUNGA,38,VANGA
2,KWALE,9,MATUGA,39,TSIMBA GOLINI
2,KWALE,9,MATUGA,40,WAA
2,KWALE,9,MATUGA,41,TIWI
2,KWALE,9,MATUGA,42,KUBO SOUTH
2,KWALE,9,MATUGA,43,MKONGANI
2,KWALE,10,KINANGO,44,NADAVAYA
2,KWALE,10,KINANGO,45,PUMA
2,KWALE,10,KINANGO,46,KINANGO
2,KWALE,10,KINANGO,47,MACKINNON-ROAD
2,KWALE,10,KINANGO,48,CHENGONI/SAMBURU
2,KWALE,10,KINANGO,49,MWAVUMBO
2,KWALE,10,KINANGO,50,KASEMENI
3,KILIFI,11,KILIFI NORTH,51,TEZO
3,KILIFI,11,KILIFI NORTH,52,SOKONI
3,KILIFI,11,KILIFI NORTH,53,KIBARANI
3,KILIFI,11,KILIFI NORTH,54,DABASO
3,KILIFI,11,KILIFI NORTH,55,MATSANGONI
3,KILIFI,11,KILIFI NORTH,56,WATAMU
3,KILIFI,11,KILIFI NORTH,57,MNARANI
3,KILIFI,12,KILIFI SOUTH,58,JUNJU
3,KILIFI,12,KILIFI SOUTH,59,MWARAKAYA
3,KILIFI,12,KILIFI SOUTH,60,SHIMO LA TEWA
3,KILIFI,12,KILIFI SOUTH,61,CHASIMBA
3,KILIFI,12,KILIFI SOUTH,62,MTEPENI
3,KILIFI,13,KALOLENI,63,MARIAKANI
3,KILIFI,13,KALOLENI,64,KAYAFUNGO
3,KILIFI,13,KALOLENI,65,KALOLENI
3,KILIFI,13,KALOLENI,66,MWANAMWINGA
3,KILIFI,14,RABAI,67,MWAWESA
3,KILIFI,14,RABAI,68,RURUMA
3,KILIFI,14,RABAI,69,KAMBE/RIBE
3,KILIFI,14,RABAI,70,RABAI/KISURUTINI
3,KILIFI,15,GANZE,71,GANZE
3,KILIFI,15,GANZE,72,BAMBA
3,KILIFI,15,GANZE,73,JARIBUNI
3,KILIFI,15,GANZE,74,SOKOKE
3,KILIFI,16,MALINDI,75,JILORE
3,KILIFI,16,MALINDI,76,KAKUYUNI
3,KILIFI,16,MALINDI,77,GANDA
3,KILIFI,16,MALINDI,78,MALINDI TOWN
3,KILIFI,16,MALINDI,79,SHELLA
3,KILIFI,17,MAGARINI,80,MARAFA
3,KILIFI,17,MAGARINI,81,MAGARINI
3,KILIFI,17,MAGARINI,82,GONGONI
3,KILIFI,17,MAGARINI,83,ADU
3,KILIFI,17,MAGARINI,84,GARASHI
3,KILIFI,17,MAGARINI,85,SABAKI
4,TANA RIVER,18,GARSEN,86,KIPINI EAST
4,TANA RIVER,18,GARSEN,87,GARSEN SOUTH
4,TANA RIVER,18,GARSEN,88,KIPINI WEST
4,TANA RIVER,18,GARSEN,89,GARSEN CENTRAL
4,TANA RIVER,18,GARSEN,90,GARSEN WEST
4,TANA RIVER,18,GARSEN,91,GARSEN NORTH
4,TANA RIVER,19,GALOLE,92,KINAKOMBA
4,TANA RIVER,19,GALOLE,93,MIKINDUNI
4,TANA RIVER,19,GALOLE,94,CHEWANI
4,TANA RIVER,19,GALOLE,95,WAYU
4,TANA RIVER,20,BURA,96,CHEWELE
4,TANA RIVER,20,BURA,97,BURA
4,TANA RIVER,20,BURA,98,BANGALE
4,TANA RIVER,20,BURA,99,SALA
4,TANA RIVER,20,BURA,100,MADOGO
5,LAMU,21,LAMU EAST,101,FAZA
5,LAMU,21,LAMU EAST,102,KIUNGA
5,LAMU,21,LAMU EAST,103,BASUBA
5,LAMU,22,LAMU WEST,104,SHELLA
5,LAMU,22,LAMU WEST,105,MKOMANI
5,LAMU,22,LAMU WEST,106,HINDI
5,LAMU,22,LAMU WEST,107,MKUNUMBI
5,LAMU,22,LAMU WEST,108,HONGWE
5,LAMU,22,LAMU WEST,109,WITU
5,LAMU,22,LAMU WEST,110,BAHARI
6,TAITA TAVETA,23,TAVETA,111,CHALA
6,TAITA TAVETA,23,TAVETA,112,MAHOO
6,TAITA TAVETA,23,TAVETA,113,BOMENI
6,TAITA TAVETA,23,TAVETA,114,MBOGHONI
6,TAITA TAVETA,23,TAVETA,115,MATA
6,TAITA TAVETA,24,WUNDANYI,116,WUNDANYI/MBALE
6,TAITA TAVETA,24,WUNDANYI,117,WERUGHA
6,TAITA TAVETA,24,WUNDANYI,118,WUMINGU/KISHUSHE
6,TAITA TAVETA,24,WUNDANYI,119,MWANDA/MGANGE
6,TAITA TAVETA,25,MWATATE,120,RONG'E
6,TAITA TAVETA,25,MWATATE,121,MWATATE
6,TAITA TAVETA,25,MWATATE,122,BURA
6,TAITA TAVETA,25,MWATATE,123,CHAWIA
6,TAITA TAVETA,25,MWATATE,124,WUSI/KISHAMBA
6,TAITA TAVETA,26,VOI,125,MBOLOLO
6,TAITA TAVETA,26,VOI,126,SAGALLA
6,TAITA TAVETA,26,VOI,127,KALOLENI
6,TAITA TAVETA,26,VOI,128,MARUNGU
6,TAITA TAVETA,26,VOI,129,KASIGAU
6,TAITA TAVETA,26,VOI,130,NGOLIA
7,GARISSA,27,GARISSA TOWNSHIP,131,WABERI
7,GARISSA,27,GARISSA TOWNSHIP,132,GALBET
7,GARISSA,27,GARISSA TOWNSHIP,133,TOWNSHIP
7,GARISSA,27,GARISSA TOWNSHIP,134,IFTIN
7,GARISSA,28,BALAMBALA,135,BALAMBALA
7,GARISSA,28,BALAMBALA,136,DANYERE
7,GARISSA,28,BALAMBALA,137,JARA JARA
7,GARISSA,28,BALAMBALA,138,SAKA
7,GARISSA,28,BALAMBALA,139,SANKURI
7,GARISSA,29,LAGDERA,140,MODOGASHE
7,GARISSA,29,LAGDERA,141,BENANE
7,GARISSA,29,LAGDERA,142,GOREALE
7,GARISSA,29,LAGDERA,143,MAALIMIN
7,GARISSA,29,LAGDERA,144,SABENA
7,GARISSA,29,LAGDERA,145,BARAKI
7,GARISSA,30,DADAAB,146,DERTU
7,GARISSA,30,DADAAB,147,DADAAB
7,GARISSA,30,DADAAB,148,LABASIGALE
7,GARISSA,30,DADAAB,149,DAMAJALE
7,GARISSA,30,DADAAB,150,LIBOI
7,GARISSA,30,DADAAB,151,ABAKAILE
7,GARISSA,31,FAFI,152,BURA
7,GARISSA,31,FAFI,153,DEKAHARIA
7,GARISSA,31,FAFI,154,JARAJILA
7,GARISSA,31,FAFI,155,FAFI
7,GARISSA,31,FAFI,156,NANIGHI
7,GARISSA,32,IJARA,157,HULUGHO
7,GARISSA,32,IJARA,158,SANGAILU
7,GARISSA,32,IJARA,159,IJARA
7,GARISSA,32,IJARA,160,MASALANI
8,WAJIR,33,WAJIR NORTH,161,GURAR
8,WAJIR,33,WAJIR NORTH,162,BUTE
8,WAJIR,33,WAJIR NORTH,163,KORONDILE
8,WAJIR,33,WAJIR NORTH,164,MALKAGUFU
8,WAJIR,33,WAJIR NORTH,165,BATALU
8,WAJIR,33,WAJIR NORTH,166,DANABA
8,WAJIR,33,WAJIR NORTH,167,GODOMA
8,WAJIR,34,WAJIR EAST,168,WAGBERI
8,WAJIR,34,WAJIR EAST,169,TOWNSHIP
8,WAJIR,34,WAJIR EAST,170,BARWAGO
8,WAJIR,34,WAJIR EAST,171,KHOROF/HARAR
8,WAJIR,35,TARBAJ,172,ELBEN
8,WAJIR,35,TARBAJ,173,SARMAN
8,WAJIR,35,TARBAJ,174,TARBAJ
8,WAJIR,35,TARBAJ,175,WARGADUD
8,WAJIR,36,WAJIR WEST,176,ARBAJAHAN
8,WAJIR,36,WAJIR WEST,177,HADADO/ATHIBOHOL
